User;Item;Rating
Alice;ItemA;5
Alice;ItemB;1
Alice;ItemC;2
Alice;ItemD;5
Alice;ItemE;1

Bob;ItemA;1
Bob;ItemB;5
Bob;ItemC;4
Bob;ItemD;1
Bob;ItemF;5

Chelsea;ItemB;2
Chelsea;ItemC;5
Chelsea;ItemD;1
Chelsea;ItemE;4
Chelsea;ItemG;1

Dennis;ItemC;1
Dennis;ItemD;5
Dennis;ItemE;2
Dennis;ItemF;4
Dennis;ItemH;1

Eve;ItemA;1
Eve;ItemE;5
Eve;ItemF;1
Eve;ItemG;5
Eve;ItemH;2

Frank;ItemA;4
Frank;ItemB;2
Frank;ItemC;5
Frank;ItemD;1
Frank;ItemE;3

Grace;ItemB;5
Grace;ItemC;1
Grace;ItemF;2
Grace;ItemG;4
Grace;ItemH;1

Heidi;ItemA;2
Heidi;ItemD;4
Heidi;ItemE;1
Heidi;ItemF;5
Heidi;ItemG;3

Ivan;ItemA;3
Ivan;ItemB;5
Ivan;ItemC;1
Ivan;ItemG;2
Ivan;ItemH;4

Judy;ItemB;1
Judy;ItemC;3
Judy;ItemD;5
Judy;ItemE;2
Judy;ItemH;4
